system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.9995808885163453,0.9997904003353595,0.9996856334486011,1.0,0.9987171263630532,0.9993581514762516,0.9992887624466572,0.9997153835207059,0.9995020274596287,0.9996232169876675,0.9994076367397061,0.9995152707948272
baseline,dev,0.6806640625,0.5769867549668874,0.6245519713261649,0.5836734693877551,0.3763157894736842,0.45759999999999995,0.5956678700361011,0.7491486946651532,0.6636500754147813,0.6200018006412854,0.567483746368575,0.5819340155803153
baseline,test,0.6873469387755102,0.5632107023411371,0.6191176470588236,0.614516129032258,0.39278350515463917,0.47924528301886793,0.6027689030883919,0.7728720983158853,0.6773035500598324,0.6348773236320534,0.5762887686038872,0.591888826712508
improved,train,0.9686366545764882,0.958412497361199,0.9634974533106961,0.9854833388320686,0.9592164418754014,0.9721724979658258,0.9612392331203112,0.9793347487615004,0.9702026221692491,0.9717864088429561,0.9656545626660336,0.9686241911485904
improved,dev,0.6678170836928387,0.6231884057971014,0.6447313619325281,0.5702341137123745,0.4463350785340314,0.5007342143906021,0.6107450582868728,0.6989559164733179,0.651879902623749,0.6162654185640286,0.5894931336014836,0.5991151596489597
improved,test,0.6561151079136691,0.6100334448160535,0.6322357019064124,0.5868725868725869,0.47010309278350515,0.5220377790497996,0.6212424849699398,0.705507510241238,0.6606990622335891,0.621410059918732,0.5952146826135989,0.6049908477299337
